Name,none,none,none,none,none,none,none,none,none,13.0

Kacen Gantt,"C, F",664,28.9,46.7,0.6,13.4,1.7,3.1,2.2,13.0

Chapman  Faulkner,"F, G",597,28.4,37.1,3.6,12.0,3.2,3.6,2.8,13.0

Jai'lyn Spears,"SG, PG",316,15.0,36.3,nan,11.1,1.6,nan,nan,13.0

Danny  De Anda ,G,537,29.8,34.7,nan,nan,nan,nan,nan,13.0

Jalen Blackmon,"PG, SG",653,31.1,34.5,3.7,3.7,nan,4.0,nan,13.0

Alex Steen,SF,495,19.8,34.3,2.3,17.8,2.3,5.2,3.9,13.0

Kelly Niece,"PG, SG",685,28.5,33.9,2.1,5.4,2.3,1.7,2.3,13.0

Gus Etchison,"PG, SG",631,28.7,33.1,4.0,5.5,2.2,3.3,2.2,13.0

Luke Brown,PG,940,31.3,32.3,5.5,4.7,2.1,2.2,1.6,13.0

Lakendric Lyles,G,645,24.8,31.0,nan,nan,nan,nan,nan,13.0

Cole Wireman,nan,876,27.4,30.3,3.4,4.6,3.2,2.0,3.5,13.0

Trey Williams,G,487,23.2,29.3,2.8,6.4,2.2,4.0,nan,13.0

Will Richard,"SG, SF",628,26.2,29.3,2.4,10.8,2.5,3.3,1.9,13.0

James  Bodily,"SF, SG",626,24.1,29.2,4.4,8.3,3.4,2.3,3.3,13.0

"Dallan ""Deebo"" Coleman","PG, SG",815,27.2,29.1,4.9,10.6,2.6,2.7,2.6,13.0

"Zach Conde
Hawkins (TX)",nan,319,15.2,29.1,6.8,13.6,3.1,3.8,4.6,13.0

Ke'ontae Barnes,PG,520,28.9,29.0,4.1,6.0,5.5,3.0,1.9,13.0

Moroni Seely-Roberts,nan,725,27.9,29.0,3.8,11.4,nan,3.0,nan,13.0

Anthony Arrington,"G, F",567,25.8,28.8,4.3,12.0,3.6,nan,nan,13.0

Johnny Nelson,F,303,15.9,28.5,2.6,11.0,3.7,3.9,4.1,13.0

Kolden Vanlandingham,G,613,25.5,28.5,4.5,nan,4.3,3.6,1.9,13.0

Nick Anthony,PG,536,29.8,27.7,9.4,8.0,3.7,2.1,2.6,13.0

Benjamin Burnham,"F, W",709,27.3,27.7,1.9,15.1,1.9,2.4,2.2,13.0

Damon Gripp,"SG, PG",454,25.2,27.6,3.0,4.9,3.4,nan,nan,13.0

Jason Parent,nan,354,20.8,27.5,3.3,14.0,4.8,4.2,2.9,13.0

Rafe Kalberloh,nan,629,26.2,27.3,3.5,6.1,2.3,2.0,2.2,13.0

Chuck Bailey,nan,498,29.3,27.1,3.4,6.7,1.4,3.5,3.1,13.0

Hayden Anderson,G,330,13.8,27.1,6.4,15.9,4.7,8.0,5.6,13.0

Aden Honegger,nan,547,26.0,26.2,3.4,4.4,5.5,3.5,nan,13.0

Marcus  Shakeer,nan,465,27.4,26.2,2.5,7.6,1.7,3.3,1.7,13.0

Jake Lifgren,G,516,27.2,25.8,4.0,5.5,3.5,2.8,1.7,13.0

Josh Farmer,SF,653,27.2,25.6,4.1,10.2,2.4,5.7,2.5,13.0

William Toye,PG,630,31.5,25.6,2.3,7.5,4.5,2.2,1.7,13.0

Luke Stockelman,"SG, SF",419,24.6,25.5,2.7,8.7,3.5,2.4,1.9,13.0

Toma's Stevens,"PG, G",622,31.1,25.3,4.8,6.6,4.1,2.4,1.8,13.0

Logan Stephens,"PG, SG",548,24.9,25.2,3.6,5.7,2.5,4.9,2.4,13.0

Sawyer Anderson,F,302,12.6,25.2,2.9,nan,2.4,3.7,4.8,13.0

Jaz Johnson,G,722,28.9,25.1,3.2,5.1,2.2,2.6,2.3,13.0

Bryson Chambers,"PG, SG",516,27.2,25.1,2.7,13.3,3.3,3.1,nan,13.0

Tyler Hiatt,"PF, C",435,21.8,25.1,1.5,7.1,1.5,3.0,3.5,13.0

Jaden Slaughter,SG,448,26.4,24.9,5.9,7.4,3.0,3.6,2.1,13.0

Isaiah Swope,PG,488,28.7,24.7,4.4,4.2,nan,3.5,nan,13.0

Isaac Stinson,nan,681,29.6,24.5,3.4,6.6,3.2,4.8,2.3,13.0

Blake Brown,nan,766,29.5,24.5,5.2,6.2,4.3,3.3,3.0,13.0

Rob Whaley,nan,624,26.0,24.4,3.3,10.2,1.5,5.7,3.4,13.0

Cole Villers,"SG, PG",716,29.8,24.4,2.3,5.5,2.1,1.1,2.0,13.0

Christian  Guajardo,PG,601,27.3,24.3,3.8,3.8,nan,3.9,nan,13.0

Kade Stewart,G,350,20.6,24.3,2.7,9.4,3.6,3.6,4.8,13.0

Lane Sparks,G,732,33.3,24.3,4.0,6.2,2.4,2.5,1.8,13.0

Car'tracus Mitchell,G,380,19.0,23.9,5.0,9.8,6.0,6.0,4.4,13.0

Kacen Gantt,"C, F",664,28.9,46.7,0.6,13.4,1.7,3.1,2.2,13.0

Chapman  Faulkner,"F, G",597,28.4,37.1,3.6,12.0,3.2,3.6,2.8,13.0

Jai'lyn Spears,"SG, PG",316,15.0,36.3,nan,11.1,1.6,nan,nan,13.0

Danny  De Anda ,G,537,29.8,34.7,nan,nan,nan,nan,nan,13.0

Jalen Blackmon,"PG, SG",653,31.1,34.5,3.7,3.7,nan,4.0,nan,13.0

Alex Steen,SF,495,19.8,34.3,2.3,17.8,2.3,5.2,3.9,13.0

Kelly Niece,"PG, SG",685,28.5,33.9,2.1,5.4,2.3,1.7,2.3,13.0

Gus Etchison,"PG, SG",631,28.7,33.1,4.0,5.5,2.2,3.3,2.2,13.0

Luke Brown,PG,940,31.3,32.3,5.5,4.7,2.1,2.2,1.6,13.0

Lakendric Lyles,G,645,24.8,31.0,nan,nan,nan,nan,nan,13.0

Cole Wireman,nan,876,27.4,30.3,3.4,4.6,3.2,2.0,3.5,13.0

Trey Williams,G,487,23.2,29.3,2.8,6.4,2.2,4.0,nan,13.0

Will Richard,"SG, SF",628,26.2,29.3,2.4,10.8,2.5,3.3,1.9,13.0

James  Bodily,"SF, SG",626,24.1,29.2,4.4,8.3,3.4,2.3,3.3,13.0

"Dallan ""Deebo"" Coleman","PG, SG",815,27.2,29.1,4.9,10.6,2.6,2.7,2.6,13.0

"Zach Conde
Hawkins (TX)",nan,319,15.2,29.1,6.8,13.6,3.1,3.8,4.6,13.0

Ke'ontae Barnes,PG,520,28.9,29.0,4.1,6.0,5.5,3.0,1.9,13.0

Moroni Seely-Roberts,nan,725,27.9,29.0,3.8,11.4,nan,3.0,nan,13.0

Anthony Arrington,"G, F",567,25.8,28.8,4.3,12.0,3.6,nan,nan,13.0

Johnny Nelson,F,303,15.9,28.5,2.6,11.0,3.7,3.9,4.1,13.0

Kolden Vanlandingham,G,613,25.5,28.5,4.5,nan,4.3,3.6,1.9,13.0

Nick Anthony,PG,536,29.8,27.7,9.4,8.0,3.7,2.1,2.6,13.0

Benjamin Burnham,"F, W",709,27.3,27.7,1.9,15.1,1.9,2.4,2.2,13.0

Damon Gripp,"SG, PG",454,25.2,27.6,3.0,4.9,3.4,nan,nan,13.0

Jason Parent,nan,354,20.8,27.5,3.3,14.0,4.8,4.2,2.9,13.0

Rafe Kalberloh,nan,629,26.2,27.3,3.5,6.1,2.3,2.0,2.2,13.0

Chuck Bailey,nan,498,29.3,27.1,3.4,6.7,1.4,3.5,3.1,13.0

Hayden Anderson,G,330,13.8,27.1,6.4,15.9,4.7,8.0,5.6,13.0

Aden Honegger,nan,547,26.0,26.2,3.4,4.4,5.5,3.5,nan,13.0

Marcus  Shakeer,nan,465,27.4,26.2,2.5,7.6,1.7,3.3,1.7,13.0

Jake Lifgren,G,516,27.2,25.8,4.0,5.5,3.5,2.8,1.7,13.0

Josh Farmer,SF,653,27.2,25.6,4.1,10.2,2.4,5.7,2.5,13.0

William Toye,PG,630,31.5,25.6,2.3,7.5,4.5,2.2,1.7,13.0

Luke Stockelman,"SG, SF",419,24.6,25.5,2.7,8.7,3.5,2.4,1.9,13.0

Toma's Stevens,"PG, G",622,31.1,25.3,4.8,6.6,4.1,2.4,1.8,13.0

Logan Stephens,"PG, SG",548,24.9,25.2,3.6,5.7,2.5,4.9,2.4,13.0

Sawyer Anderson,F,302,12.6,25.2,2.9,nan,2.4,3.7,4.8,13.0

Jaz Johnson,G,722,28.9,25.1,3.2,5.1,2.2,2.6,2.3,13.0

Bryson Chambers,"PG, SG",516,27.2,25.1,2.7,13.3,3.3,3.1,nan,13.0

Tyler Hiatt,"PF, C",435,21.8,25.1,1.5,7.1,1.5,3.0,3.5,13.0

Jaden Slaughter,SG,448,26.4,24.9,5.9,7.4,3.0,3.6,2.1,13.0

Isaiah Swope,PG,488,28.7,24.7,4.4,4.2,nan,3.5,nan,13.0

Isaac Stinson,nan,681,29.6,24.5,3.4,6.6,3.2,4.8,2.3,13.0

Blake Brown,nan,766,29.5,24.5,5.2,6.2,4.3,3.3,3.0,13.0

Rob Whaley,nan,624,26.0,24.4,3.3,10.2,1.5,5.7,3.4,13.0

Cole Villers,"SG, PG",716,29.8,24.4,2.3,5.5,2.1,1.1,2.0,13.0

Christian  Guajardo,PG,601,27.3,24.3,3.8,3.8,nan,3.9,nan,13.0

Kade Stewart,G,350,20.6,24.3,2.7,9.4,3.6,3.6,4.8,13.0

Lane Sparks,G,732,33.3,24.3,4.0,6.2,2.4,2.5,1.8,13.0

Car'tracus Mitchell,G,380,19.0,23.9,5.0,9.8,6.0,6.0,4.4,13.0

"Michael Goodman
Perrin-Whitt (Perrin, TX)","PG, SG",562,25.5,23.9,8.5,5.4,7.2,5.2,2.8,13.0

Sam Howery,PG,490,28.8,23.7,11.3,8.8,5.0,3.9,2.4,13.0

Grant Luikens,"G, F",616,26.8,23.7,3.0,8.5,3.2,3.9,2.9,13.0

Isaiah Garcia,G,722,31.4,23.6,1.4,6.3,2.8,4.1,1.6,13.0

Mason Moore,"G, SG",507,26.7,23.6,7.3,11.2,3.5,3.1,1.6,13.0

Kobe Ward,F,546,27.3,23.4,2.5,12.4,2.9,2.0,2.2,13.0

Matteo Urdih,"PF, C",349,19.4,23.4,0.1,18.3,1.9,4.6,4.9,13.0

Jayson Petty,"F, G",504,26.5,23.3,1.5,8.8,2.9,2.9,2.3,13.0

Carson Brown,nan,715,25.5,23.1,3.9,9.7,3.1,5.5,3.7,13.0

Tucker Wolfe,G,681,27.2,23.1,4.6,8.3,nan,nan,nan,13.0

"Trey Miner
Elm Creek (NE)",nan,590,26.8,23.0,3.2,nan,3.1,2.2,2.9,13.0

Jadon Riley,SG,315,13.7,23.0,2.5,9.3,1.8,3.3,0.2,13.0

Mason Brooks,"SF, PF",735,29.4,22.9,3.3,10.7,1.1,1.9,2.9,13.0

