Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
1,James Daniel,HU,30,37.2,2.2,2.8,2.0,0.2,0.2,2016
2,Buddy Hield,OU,37,35.4,5.7,2.0,1.1,0.5,0.5,2016
3,Kay Felder,OU,35,36.7,4.3,9.3,2.0,0.2,0.2,2016
4,Josh Adams,UW,31,36.3,5.6,4.3,1.4,0.6,0.6,2016
5,Stefan Moody,UM,31,34.6,3.2,4.3,1.5,0.1,0.1,2016
6,Cat Barber,NCST,33,38.7,4.6,4.5,0.6,0.1,0.1,2016
7,Jack Gibbs,DAV,31,35.5,4.1,4.9,1.8,0.1,0.1,2016
8,Cane Broome,SHU,30,37.5,4.9,2.9,1.7,0.0,0.0,2016
9,Obi Emegano,ORU,29,35.4,5.1,1.8,1.1,0.3,0.3,2016
10,A.J. English III,IC,28,35.9,5.0,6.2,1.6,0.5,0.5,2016
11,Zeek Woodley,NSU,28,33.0,5.2,1.6,1.0,0.6,0.6,2016
12,Kevin Punter,UT,26,34.1,3.5,3.5,1.4,0.2,0.2,2016
13,Trey Freeman,ODU,38,35.1,4.2,3.0,1.0,0.1,0.1,2016
14,Elijah Brown,UNM,32,33.7,5.5,3.2,1.1,0.1,0.1,2016
15,Grayson Allen,DUKE,36,36.6,4.6,3.5,1.3,0.1,0.1,2016
16,Marcus Evans,RU,32,33.5,4.0,2.8,2.2,0.2,0.2,2016
17,Ben Bentil,PROV,35,34.2,7.7,1.1,0.9,1.0,1.0,2016
18,Austin McBroom,EWU,33,37.4,2.5,3.7,1.1,0.0,0.0,2016
19,Andrew Andrews,UW,34,33.8,5.7,4.9,1.4,0.0,0.0,2016
20,Marvelle Harris,CSUF,35,36.7,4.7,4.5,2.2,0.6,0.6,2016
21,Jared Brownridge,SCU,31,35.8,3.2,2.3,0.7,0.2,0.2,2016
22,D.J. Balentine,UE,34,37.1,3.3,4.4,0.7,0.3,0.3,2016
23,Georges Niang,ISU,35,33.2,6.2,3.3,0.9,0.6,0.6,2016
24,Kyle Wiltjer,GU,36,33.6,6.3,1.5,0.4,0.8,0.8,2016
25,Khallid Hart,MAR,28,36.5,2.6,2.1,1.5,0.1,0.1,2016
26,Cameron Morse,YSU,30,33.5,2.7,3.1,1.5,0.1,0.1,2016
27,Devin Watson,USF,30,34.7,2.5,4.9,0.9,0.0,0.0,2016
28,Pascal Siakam,NMSU,34,34.6,11.6,1.7,1.0,2.2,2.2,2016
29,DeSean Murray,PC,31,29.1,7.4,1.7,2.0,0.5,0.5,2016
30,Ethan Telfair,ISU,31,35.7,4.0,5.4,2.4,0.1,0.1,2016
31,Jordan Howard,UCA,28,34.9,3.4,2.8,0.6,0.1,0.1,2016
32,James Kelly,MU,33,30.6,9.8,1.2,1.3,1.1,1.1,2016
33,Quinton Hooker,UND,32,35.5,4.9,3.5,1.9,0.2,0.2,2016
34,Jamal Murray,UK,36,35.2,5.2,2.2,1.0,0.3,0.3,2016
35,Alex Hamilton,LTU,33,35.3,5.7,6.2,2.0,0.5,0.5,2016
36,Jameel Warney,SB,33,32.9,10.8,1.6,0.9,3.0,3.0,2016
37,Q.J. Peterson,VMI,30,33.5,6.3,2.8,1.4,0.5,0.5,2016
38,Tanner Plomb,USMA,28,31.4,5.8,1.5,0.9,0.3,0.3,2016
39,Dikembe Dixson,UIC,30,36.7,7.3,1.8,1.2,0.5,0.5,2016
40,Dallas Moore,UNF,34,35.6,4.0,6.0,0.9,0.1,0.1,2016
41,Marcus Posley,STBN,31,37.2,3.4,3.6,1.3,0.1,0.1,2016
42,John Brown,HP,28,29.6,7.1,2.2,1.7,1.8,1.8,2016
43,Max Landis,IPFW,33,37.2,2.1,3.7,0.9,0.0,0.0,2016
44,Nathan Boothe,U of T,32,31.5,9.0,3.3,0.7,1.0,1.0,2016
45,"Anthony Beane, Jr.",SIU,32,34.3,3.8,1.8,1.1,0.0,0.0,2016
46,Justin Robinson,MU,36,32.9,3.8,3.7,2.2,0.0,0.0,2016
47,Cameron Forte,PSU,31,29.3,9.3,2.6,1.0,0.5,0.5,2016
48,Jordan Price,LU,31,37.7,5.5,3.0,1.1,0.4,0.4,2016
49,Denzel Valentine,MSU,31,33.0,7.5,7.8,1.0,0.2,0.2,2016
50,Ben Simmons,LSU,33,34.9,11.8,4.8,2.0,0.8,0.8,2016
51,Ladarius Tabb,AAMU,29,34.5,6.9,0.7,1.4,0.3,0.3,2016
52,Martin Breunig,UM,33,30.5,9.0,1.5,0.7,1.1,1.1,2016
53,Jarrod Uthoff,UI,33,31.5,6.3,1.1,1.0,2.5,2.5,2016
54,Matt Morgan,COR,27,30.7,3.1,2.0,1.4,0.4,0.4,2016
55,Shawn Long,LA,34,30.6,12.1,1.4,0.7,1.8,1.8,2016
56,Pancake Thomas,UHA,30,34.6,6.4,2.8,1.2,0.2,0.2,2016
57,Chris Horton,APSU,36,33.7,12.0,1.5,1.4,1.8,1.8,2016
58,Keon Johnson,WIN,32,34.4,4.2,2.5,0.9,0.0,0.0,2016
59,Trey Davis,UMass,32,34.0,4.6,3.2,1.2,0.1,0.1,2016
60,Jaron Blossomgame,CLEM,31,34.2,6.7,1.5,0.7,1.3,1.3,2016
61,Kendrick Ray,KENN,31,34.2,5.6,2.7,1.4,0.2,0.2,2016
62,Frank Eaves,ASU,31,31.1,3.7,2.2,0.8,0.0,0.0,2016
63,Jimmy Gavin,WIN,32,33.8,2.9,3.0,0.8,0.1,0.1,2016
64,Tyler Hall,MSU,31,32.0,5.3,1.6,0.9,0.3,0.3,2016
65,Yonel Brown,KENN,31,38.8,3.4,2.5,1.1,0.0,0.0,2016
66,Marcus Romain,MVSU,30,29.0,5.4,2.4,1.1,0.4,0.4,2016
67,Kori Babineaux,JAC,32,35.9,4.8,3.8,1.0,0.2,0.2,2016
68,Ge'Lawn Guyn,ETSU,35,32.6,4.0,1.9,1.1,0.8,0.8,2016
69,Chris Clemons,CAM,30,32.2,3.7,1.8,1.5,0.3,0.3,2016
70,Micah Mason,DUQ,33,35.7,3.1,4.5,0.9,0.1,0.1,2016
71,Majok Deng,ULM,31,36.3,7.0,1.9,0.7,1.6,1.6,2016
72,Paris Bass,UDM,24,29.8,8.0,2.1,1.4,1.4,1.4,2016
73,T.J. Cline,RICH,32,30.0,5.2,3.8,0.7,0.1,0.1,2016
74,Alec Peters,VAL,37,32.1,8.4,1.3,0.7,0.3,0.3,2016
75,Damon Lynn,NJIT,35,37.8,3.0,3.3,1.6,0.1,0.1,2016
76,Alec Wintering,UP,32,31.6,3.3,4.9,1.5,0.0,0.0,2016
77,Malcolm Brogdon,UVA,37,34.1,4.1,3.1,0.9,0.2,0.2,2016
78,Torrance Rowe,TTU,31,35.5,2.7,4.4,0.6,0.1,0.1,2016
79,Chase Fischer,BYU,37,34.0,2.8,2.1,1.1,0.1,0.1,2016
80,Isaiah Whitehead,SHU,34,32.3,3.6,5.1,1.2,1.4,1.4,2016
81,Isaiah Miles,SJU,36,34.4,8.1,0.9,0.6,1.0,1.0,2016
82,Devin Patterson,UNO,32,32.7,2.5,3.2,1.8,0.0,0.0,2016
83,Reggie Johnson,HU,32,36.0,3.6,4.0,1.7,0.1,0.1,2016
84,Thomas Walkup,SFA,34,29.5,6.9,4.5,2.1,0.5,0.5,2016
85,Malcolm Hill,U of I,34,35.1,6.6,3.3,1.2,0.4,0.4,2016
86,Michael Bryson,UCSB,32,33.7,6.4,2.4,0.8,0.6,0.6,2016
87,Thomas Wilder,WMY,32,31.8,4.2,3.1,1.6,0.1,0.1,2016
88,Rodney Pryor,RMU,29,32.1,8.0,1.7,1.4,0.9,0.9,2016
89,Ryan Bowie,UTSA,32,34.6,6.6,1.6,0.8,0.2,0.2,2016
90,Jeremy Senglin,WSU,35,35.0,3.6,2.8,0.7,0.1,0.1,2016
91,Derrick Colter,DUQ,34,35.9,3.6,4.6,1.0,0.2,0.2,2016
92,David Walker,NU,33,38.3,3.8,4.0,1.4,0.4,0.4,2016
93,Jaylen Adams,STBN,30,37.5,3.7,5.0,1.3,0.3,0.3,2016
94,Jarelle Reischel,EKU,30,31.4,6.8,3.2,1.7,0.4,0.4,2016
95,Garret Covington,WIU,27,33.8,4.1,2.0,0.9,0.2,0.2,2016
96,Juan'ya Green,HOF,34,37.7,4.4,7.1,1.6,0.5,0.5,2016
97,Omar Prewitt,W&M,31,32.2,5.2,2.5,0.8,0.5,0.5,2016
98,Tookie Brown,GSU,31,30.8,3.2,3.4,1.6,0.1,0.1,2016
99,Kory Holden,UD,30,36.3,3.0,4.2,0.4,0.1,0.1,2016
100,Tim Kempton,LU,29,29.8,9.5,1.4,0.7,0.4,0.4,2016
101,Evan Boudreaux,DART,27,32.1,9.4,1.1,0.8,0.3,0.3,2016
102,Evan Bradds,BEL,32,30.6,9.2,2.2,0.3,0.2,0.2,2016
103,Jonathan Williams,U of T,32,30.9,3.0,2.8,0.8,0.1,0.1,2016
104,E.J. Eaves,SCSU,34,28.3,2.8,1.9,0.8,0.2,0.2,2016
105,Domantas Sabonis,GU,36,31.9,11.8,1.8,0.6,0.9,0.9,2016
106,Retin Obasohan,UA,33,32.3,3.8,2.6,1.4,0.3,0.3,2016
107,Michael Patrick Gbinije,SU,37,37.9,4.1,4.3,1.9,0.4,0.4,2016
108,Anthony Odunsi,HBU,33,28.8,4.6,3.7,1.2,0.0,0.0,2016
109,Melvin Johnson,VCU,36,31.5,2.7,2.2,1.3,0.1,0.1,2016
110,DeAndre' Bembry,SJU,36,37.2,7.8,4.5,1.4,0.8,0.8,2016
111,Nick Faust,LBSU,35,30.9,6.1,2.2,1.5,0.5,0.5,2016
112,Yogi Ferrell,IU,35,34.7,3.8,5.6,1.1,0.0,0.0,2016
113,Brandon Ingram,DUKE,36,34.6,6.8,2.0,1.1,1.4,1.4,2016
114,Tyler Ulis,UK,35,36.8,3.0,7.0,1.5,0.1,0.1,2016
115,Carrington Love,UWGB,36,32.6,2.7,3.6,2.6,0.3,0.3,2016
116,Devin Carter,ASU,31,35.8,4.4,1.9,0.7,0.3,0.3,2016
117,Ron Curry,JMU,31,33.4,4.1,3.6,1.0,0.4,0.4,2016
118,Jake White,UNO,32,25.9,6.2,0.3,0.3,0.2,0.2,2016
119,Chris Hass,BU,30,31.5,4.0,1.6,1.1,0.5,0.5,2016
120,Jakob Poeltl,U of U,36,30.4,9.1,1.9,0.6,1.6,1.6,2016
121,Terry Allen,RICH,32,33.3,7.7,2.2,1.6,0.6,0.6,2016
122,Shane Richards,MAN,31,36.3,3.8,1.7,0.9,0.1,0.1,2016
123,Joel Bolomboy,WSU,33,31.6,12.6,1.1,0.7,1.2,1.2,2016
124,Antonio Campbell,OU,35,28.9,10.2,0.7,0.7,1.8,1.8,2016
125,Robert Hatter,COR,24,28.2,3.2,3.5,1.2,0.1,0.1,2016
126,Stephen Croone,FU,33,30.3,3.5,2.5,1.2,0.3,0.3,2016
127,Marc-Eddy Norelia,FGC,35,32.8,9.3,1.3,1.1,0.8,0.8,2016
128,Quinton Chievous,HU,27,34.1,10.7,2.0,0.6,0.1,0.1,2016
129,Javontae Hawkins,EKU,30,28.9,4.8,2.1,1.0,0.4,0.4,2016
130,Mike Brown,WCU,34,34.3,5.9,3.2,1.5,0.4,0.4,2016
131,Henry Ellenson,MU,33,33.5,9.7,1.8,0.8,1.5,1.5,2016
132,Brice Johnson,UNC,40,28.0,10.4,1.4,1.1,1.5,1.5,2016
133,Tim Derksen,USF,30,32.6,6.9,2.0,0.7,0.3,0.3,2016
134,Josh Robinson,APSU,36,34.1,3.1,2.6,1.0,0.0,0.0,2016
