Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
1,Jimmer Fredette,BYU,37,35.8,3.5,4.3,1.3,0.0,0.0,2011
2,MarShon Brooks,PROV,32,36.5,7.0,2.5,1.5,1.2,1.2,2011
3,Adrian Oliver,SJSU,31,35.0,5.3,2.5,0.7,0.4,0.4,2011
4,Andrew Goudelock,C of C,37,35.2,3.9,4.2,0.9,0.2,0.2,2011
5,Kemba Walker,UConn,41,37.6,5.4,4.5,1.9,0.2,0.2,2011
6,Andrew Gonzalez,HBU,30,37.0,5.5,2.2,1.6,0.5,0.5,2011
7,Charles Jenkins,HOF,33,37.3,3.3,4.8,1.7,0.6,0.6,2011
8,Xavier Silas,NIU,26,32.0,4.6,1.8,1.2,0.3,0.3,2011
9,Anatoly Bose,NSU,28,34.1,5.9,2.2,1.4,0.2,0.2,2011
10,C.J. McCollum,LU,31,34.6,7.8,2.2,2.5,0.7,0.7,2011
11,Norris Cole,CSU,36,35.7,5.8,5.3,2.2,0.1,0.1,2011
12,Klay Thompson,WSU,34,34.7,5.2,3.7,1.6,0.9,0.9,2011
13,Devon Beitzel,UNC,32,35.4,3.2,1.8,1.4,0.0,0.0,2011
14,Orlando Johnson,UCSB,32,33.3,6.2,2.9,1.2,0.5,0.5,2011
15,Donald Sims,ASU,31,37.9,3.7,3.6,1.7,0.2,0.2,2011
16,Andrew Nicholson,STBN,31,33.8,7.3,1.0,0.5,1.5,1.5,2011
17,Nolan Smith,DUKE,37,34.0,4.5,5.1,1.2,0.1,0.1,2011
18,JaJuan Johnson,PU,34,35.4,8.6,1.0,0.9,2.3,2.3,2011
19,Alec Burks,CU,38,31.4,6.5,2.9,1.1,0.3,0.3,2011
20,Vlad Moldoveanu,AU,30,33.7,6.4,2.0,0.4,0.5,0.5,2011
21,Talor Battle,PSU,34,38.1,4.4,2.9,0.8,0.1,0.1,2011
22,Jacob Pullen,KSU,31,32.6,2.9,3.7,1.6,0.1,0.1,2011
23,Kevin Foster,SCU,38,32.1,2.7,3.7,1.6,0.1,0.1,2011
24,Cameron Jones,NAU,32,33.7,4.6,3.2,0.9,0.1,0.1,2011
25,Noah Dahlman,WC,34,31.3,5.6,1.2,0.8,0.4,0.4,2011
26,Justin Hurtt,TU,32,33.7,3.8,2.4,0.5,0.2,0.2,2011
27,Brandon Bowdry,EMU,30,32.3,9.5,1.8,1.1,0.3,0.3,2011
28,Tu Holloway,XAV,32,38.4,4.9,5.4,1.4,0.1,0.1,2011
29,Alex Young,IUPUI,33,36.6,6.4,2.4,1.4,0.8,0.8,2011
30,Ken Horton,CCSU,31,35.4,8.9,1.9,1.4,1.6,1.6,2011
31,Derrick Williams,U of A,38,30.0,8.3,1.1,1.0,0.7,0.7,2011
32,John Jenkins,VU,32,34.5,3.0,1.2,0.8,0.3,0.3,2011
33,LaceDarius Dunn,BU,28,35.2,3.6,2.1,1.4,0.0,0.0,2011
34,Nate Wolters,SDSU,31,33.2,4.6,6.0,1.3,0.2,0.2,2011
35,Dominique Morrison,ORU,31,34.9,5.0,2.1,0.6,0.5,0.5,2011
36,Gilberto Clavell,SHSU,31,30.1,7.3,0.9,0.6,0.1,0.1,2011
37,Randy Culpepper,UTEP,35,36.0,2.9,3.1,2.0,0.3,0.3,2011
38,John Holland,BU,34,33.9,5.8,1.6,1.4,0.3,0.3,2011
39,Chris Warren,UM,34,34.9,2.2,3.8,0.7,0.1,0.1,2011
40,C.J. Wilkerson,NCCU,29,37.1,3.4,1.8,1.0,0.1,0.1,2011
41,Troy Gillenwater,NMSU,27,30.3,6.3,0.6,0.4,1.0,1.0,2011
42,Andrew Warren,BU,32,36.7,5.5,1.8,1.7,0.3,0.3,2011
43,C.J. Reed,BCU,34,38.7,3.8,4.8,1.6,0.0,0.0,2011
44,Gary Flowers,USM,31,31.1,7.7,1.1,1.1,1.4,1.4,2011
45,Ryan Rossiter,SC,31,37.4,13.2,1.5,0.9,1.4,1.4,2011
46,Landon Clement,NCCU,30,36.0,3.7,1.1,1.1,0.0,0.0,2011
47,Anthony Gurley,UMass,30,30.7,4.4,1.4,1.0,0.1,0.1,2011
48,Malcolm Delaney,VT,34,38.2,3.5,4.0,1.6,0.2,0.2,2011
49,Jordan Hamilton,UT,36,32.2,7.7,2.1,0.9,0.6,0.6,2011
50,Desmond Holloway,CCU,26,32.0,6.9,1.7,1.3,0.3,0.3,2011
51,Mike Glover,IC,37,34.3,10.1,0.9,0.8,0.9,0.9,2011
52,Ben Hansbrough,ND,34,35.4,3.9,4.3,1.2,0.1,0.1,2011
53,Austin Kenon,VMI,28,30.0,3.5,3.2,1.0,0.0,0.0,2011
54,LeRoy Nobles,IUPUI,32,35.8,4.0,1.3,0.8,0.1,0.1,2011
55,Dwight Hardy,STJ,33,34.2,2.9,1.9,1.3,0.1,0.1,2011
56,Jon Leuer,UW,34,33.5,7.2,1.6,0.5,0.9,0.9,2011
57,Papa Dia,SMU,35,33.6,9.6,1.8,0.7,2.2,2.2,2011
58,Antwan Carter,LONG,31,32.5,9.5,1.6,0.9,0.7,0.7,2011
59,Reggie Jackson,BC,34,34.1,4.3,4.5,1.1,0.5,0.5,2011
60,Markeith Cummings,KENN,31,35.5,5.0,1.8,1.5,0.1,0.1,2011
61,Jordan Taylor,UW,34,36.5,4.1,4.7,0.7,0.1,0.1,2011
62,Jovonni Shuler,SST,30,34.7,5.1,2.0,1.3,0.4,0.4,2011
63,E'Twaun Moore,PU,34,33.9,5.1,3.2,1.2,0.5,0.5,2011
64,Vaughn Duggins,WRST,33,35.2,3.8,2.2,1.5,0.1,0.1,2011
65,Tristan Thompson,UNT,33,32.0,3.2,1.8,0.7,0.1,0.1,2011
66,Keith Benson,OU,35,32.4,10.1,1.1,0.8,3.6,3.6,2011
67,Mike Smith,ETSU,35,34.1,6.8,1.9,0.8,0.4,0.4,2011
68,Justin Harper,RICH,37,31.8,6.9,1.2,0.6,1.2,1.2,2011
69,Jamarr Sanders,UAB,31,34.8,4.6,1.9,0.9,0.3,0.3,2011
70,Will Pratt,NSU,32,25.0,4.4,1.2,1.3,0.3,0.3,2011
71,Adnan Hodzic,LIP,30,31.6,7.5,1.0,0.3,0.1,0.1,2011
72,Nick Barbour,HP,29,29.8,3.0,1.0,1.0,0.1,0.1,2011
73,Chad Tomko,UNCW,31,36.5,5.9,4.3,1.9,0.3,0.3,2011
74,Austin Freeman,GU,32,33.8,3.7,2.4,0.7,0.2,0.2,2011
75,Denzel Bowles,JMU,33,32.3,8.8,2.2,0.6,1.6,1.6,2011
76,Reggie Hamilton,OU,35,28.8,2.5,5.3,1.3,0.2,0.2,2011
77,Jamarco Warren,CSU,32,33.4,3.0,2.8,1.4,0.1,0.1,2011
78,Jay Couisnard,UMKC,29,33.5,5.6,1.6,1.3,0.6,0.6,2011
79,Ravern Johnson,MSU,28,34.9,3.6,0.8,0.4,0.5,0.5,2011
80,Delroy James,URI,34,34.1,7.9,2.7,1.6,1.1,1.1,2011
81,Darrion Pellum,HU,32,36.6,4.3,2.0,1.7,0.3,0.3,2011
82,Iman Shumpert,GT,31,32.0,5.9,3.5,2.7,0.2,0.2,2011
83,Isiah Williams,UVU,30,30.7,2.7,1.9,0.4,0.1,0.1,2011
84,Brandon Knight,UK,38,35.9,4.0,4.2,0.7,0.2,0.2,2011
85,Kenneth Faried,MSU,35,34.7,14.5,1.1,1.9,2.3,2.3,2011
86,Diante Garrett,ISU,32,36.7,3.7,6.1,1.7,0.2,0.2,2011
